model_name,hidden_dim,num_layers,num_heads,trainable_params,best_val_loss,best_val_acc,best_epoch,total_epochs
FeatureConcatTransformer_d32_l4_h8,32,4,8,36233,0.00022633270418737084,0.7570207118988037,47,50
FeatureConcatTransformer_d32_l6_h8,32,6,8,53321,0.00022724142763763666,0.759041965007782,48,50
FeatureConcatTransformer_d32_l10_h8,32,10,8,87497,0.00022668467136099935,0.7604624032974243,45,50
FeatureConcatTransformer_d32_l8_h8,32,8,8,70409,0.00023069714370649308,0.7580171227455139,46,50
FeatureConcatTransformer_d64_l4_h8,64,4,8,139247,0.00020410768047440797,0.7917140126228333,48,50
FeatureConcatTransformer_d64_l6_h8,64,6,8,206191,0.00020643760217353702,0.7802108526229858,45,50
FeatureConcatTransformer_d64_l8_h8,64,8,8,273135,0.00020797103934455663,0.7825976610183716,26,37
FeatureConcatTransformer_d64_l10_h8,64,10,8,340079,0.00020526706066448241,0.784089982509613,45,50
FeatureConcatTransformer_d128_l4_h8,128,4,8,544796,0.00019961126963607967,0.7927588820457458,26,37
FeatureConcatTransformer_d128_l6_h8,128,6,8,809756,0.00019756703113671392,0.7912119030952454,33,44
FeatureConcatTransformer_d128_l8_h8,128,8,8,1074716,0.00019693796639330685,0.7964178919792175,28,39
FeatureConcatTransformer_d128_l10_h8,128,10,8,1339676,0.0001993486803257838,0.7929338216781616,25,36
FeatureConcatTransformer_d256_l4_h8,256,4,8,2151867,0.00020221766317263246,0.7965432405471802,47,50
FeatureConcatTransformer_d256_l6_h8,256,6,8,3206075,0.00020481072715483606,0.7955403327941895,16,27
FeatureConcatTransformer_d256_l8_h8,256,8,8,4260283,0.00020272807159926742,0.7979361414909363,31,42
FeatureConcatTransformer_d256_l10_h8,256,10,8,5314491,0.00020273927657399327,0.7970277667045593,34,45
