model_name,hidden_dim,num_layers,num_heads,trainable_params,best_val_loss,best_val_acc,best_epoch,total_epochs
FeatureConcatTransformer_HLF_d32_l6_h8,32,6,8,53639,0.00019316984980832785,0.7927343249320984,45,50
FeatureConcatTransformer_HLF_d32_l8_h8,32,8,8,70727,0.00018920685397461057,0.7937012314796448,49,50
FeatureConcatTransformer_HLF_d32_l10_h8,32,10,8,87815,0.00019269705808255821,0.7922539710998535,48,50
FeatureConcatTransformer_HLF_d64_l4_h8,64,4,8,139858,0.00018812704365700483,0.8011518716812134,47,50
FeatureConcatTransformer_HLF_d64_l6_h8,64,6,8,206802,0.00018918672867584974,0.7973278760910034,48,50
FeatureConcatTransformer_HLF_d64_l8_h8,64,8,8,273746,0.0001863092475105077,0.7990437150001526,49,50
FeatureConcatTransformer_HLF_d64_l10_h8,64,10,8,340690,0.0001861053897300735,0.79671710729599,48,50
FeatureConcatTransformer_HLF_d128_l4_h8,128,4,8,546146,0.0001825787330744788,0.8066147565841675,49,50
FeatureConcatTransformer_HLF_d32_l4_h8,32,4,8,36551,0.0001920422655530274,0.7930196523666382,47,50
FeatureConcatTransformer_HLF_d128_l6_h8,128,6,8,811106,0.00018120995082426816,0.8054762482643127,48,50
FeatureConcatTransformer_HLF_d128_l8_h8,128,8,8,1076066,0.0001803550694603473,0.8065735101699829,44,50
FeatureConcatTransformer_HLF_d128_l10_h8,128,10,8,1341026,0.0001807134976843372,0.8066114187240601,46,50
FeatureConcatTransformer_HLF_d256_l4_h8,256,4,8,2155268,0.0001909786806209013,0.8077442049980164,38,49
FeatureConcatTransformer_HLF_d256_l6_h8,256,6,8,3209476,0.00017746271623764187,0.809727132320404,49,50
FeatureConcatTransformer_HLF_d256_l8_h8,256,8,8,4263684,0.0001912529260152951,0.8068141341209412,31,42
FeatureConcatTransformer_HLF_d256_l10_h8,256,10,8,5317892,0.00017766578821465373,0.8094390034675598,49,50
